"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X268","Región Metropolitana, Lo Prado","Autos, camionetas y 4x4",4e+06,"Vendo","2014","https://www.yapo.cl/region_metropolitana/autos/chevrolet_aveo_full_72787523.htm?ca=15_s&oa=72787523&xsp=23"
"X269","Región Metropolitana, Las Condes","Electrodomésticos",20000,"Vendo","2018","https://www.yapo.cl/region_metropolitana/electrodomesticos/repuestos_aspiradora_robot_xiaomi_roborock_73768681.htm?ca=15_s&oa=73768681&xsp=24"
"15","Región Metropolitana, La Florida","Vendo - Casa",NA,NA,"2017","https://www.yapo.cl/region_metropolitana/comprar/casa_sector_alto_de_la_florida_73648266.htm?ca=15_s&oa=73648266&xsp=25"
"16","Región Metropolitana, San Miguel","Vendo - Departamento",NA,NA,"2020","https://www.yapo.cl/region_metropolitana/comprar/hermoso_departamento_3d_2b_bodega_san_miguel_73637784.htm?ca=15_s&oa=73637784&xsp=26"
"X270","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",40000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/sensor_abs_tras_izq_chv_dmax_2014_73768677.htm?ca=15_s&oa=73768677&xsp=27"
"X271","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",18000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/filtro_aire_acondicionado_chevrolet_dmax_2012_73768676.htm?ca=15_s&oa=73768676&xsp=28"
"X272","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",25000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/optico_derecho_chevrolet_dmax_2008_73768675.htm?ca=15_s&oa=73768675&xsp=29"
"X273","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",18000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/tambor_de_freno_chevrolet_dmax_2011_73768674.htm?ca=15_s&oa=73768674&xsp=30"
"X274","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",25000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/pedal_acelerador__01__chevrolet_dmax_2008_73768670.htm?ca=15_s&oa=73768670&xsp=31"
"X275","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",10000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/seguro_paquete_resortes_chevrolet_dmax_2011_73768669.htm?ca=15_s&oa=73768669&xsp=32"
"X276","Región Metropolitana, Ñuñoa","Autos, camionetas y 4x4",17200000,"Vendo","2013","https://www.yapo.cl/region_metropolitana/autos/bmw_x1__impecable__ano_2018__45_000_km_73768668.htm?ca=15_s&oa=73768668&xsp=33"
"X277","Región Metropolitana, Santiago","Vestuario futura mamá y niños",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/jeans_metro_73768667.htm?ca=15_s&oa=73768667&xsp=34"
